epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,0.49101324643194677,0.6323700404167175,0.65275,0.6272445341300964,0.6576,0.490416652649641,0.032300340672489256,0.0
1,0.47333942794799805,0.6659949159622193,0.65175,,,0.4713518623635173,0.033154294565785676,0.0
2,0.46726131965219975,0.599135498046875,0.6875,0.6007133027839661,0.68504,0.4643185587823391,0.029553089670836925,0.0
3,0.46874138656258585,0.5878043775558471,0.698,0.5900629131889343,0.6926,0.465055682271719,0.026377035478595646,0.0
4,0.45934345795959236,0.5270017228126526,0.75425,0.524107781496048,0.75216,0.4544860629737377,0.0268782596422825,0.0
5,0.45649502263218167,0.5061133093833924,0.7595,0.5082694609069824,0.75164,0.44992599412426354,0.029820503895170988,0.0
6,0.44641644714400175,0.5769737219810486,0.722,,,0.43730792875494806,0.03495675015076995,0.0
7,0.4302077208440751,1.1038920927047728,0.627,,,0.4187352325320244,0.03829810065310448,0.0
8,0.4014989042850211,0.9832201108932496,0.6245,,,0.391438496875111,0.029620604974683374,0.0
9,0.4059734582300298,1.6185493679046632,0.57925,,,0.3929470076363068,0.034145652595558205,0.0
10,0.39732677887845785,1.4088317050933838,0.57475,,,0.3833291798171122,0.0332919637945015,0.0
11,0.4058205489688553,0.8784989643096924,0.69125,,,0.38869583909236827,0.037126690993783996,0.0
12,0.4056123722838238,2.1794103145599366,0.55,,,0.3868657285562949,0.0376533130730968,0.0
13,0.3839479188143741,1.4271698141098021,0.6115,,,0.3686098735008854,0.028239064847119154,0.0
14,0.40016998810879884,0.9189582343101501,0.6565,,,0.37894114492018705,0.03665386713366024,0.0
15,0.4046930806543678,1.1000507717132568,0.669,,,0.3826897822539322,0.03549614683014806,0.0
16,0.40885907427268103,0.8855755310058594,0.70275,,,0.3832366674180375,0.0387816584672546,0.0
17,0.4065417260136455,1.283009859085083,0.6535,,,0.38176960732066073,0.035440741831669585,0.0
18,0.3779936856077984,2.2655213203430176,0.56375,,,0.3594653515855898,0.02502265861647902,0.0
19,0.37294172405893916,2.6409086380004885,0.5405,,,0.3570173215024988,0.020492604508108345,0.0
