epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu
0,0.48594638181850314,0.32099637842178347,0.888875,0.33712330949933905,0.8877631578947368,0.48594638181850314,0.08591367725593348
1,0.3957363893091679,0.30518265867233274,0.891375,0.3188996644082822,0.8890789473684211,0.3796982138479749,0.08910096841864287
2,0.30301348148534696,0.3008121647834778,0.895875,0.31681614850696765,0.891578947368421,0.2725167641416192,0.08471310048364103
3,0.29322857620815435,0.2916903953552246,0.897625,0.3043460719522677,0.8960526315789473,0.2468043799325824,0.08597073100507259
4,0.2864363994325201,0.31333847761154177,0.89225,0.3043460719522677,0.8960526315789473,0.22744807760231198,0.0819282213691622
5,0.27917725951721273,0.268779646396637,0.904375,0.2799132257072549,0.9017105263157895,0.20709670272034902,0.0800895099217693
6,0.2727678068851431,0.2685776298046112,0.905375,0.28030633713069714,0.9021052631578947,0.20382898000224184,0.07659869881967704
7,0.25487118667612474,0.25985117149353026,0.907875,0.268035744805085,0.9046052631578947,0.18424350153033933,0.07847520693205297
8,0.244374875711898,0.2552980434894562,0.9085,0.262585346228198,0.9071052631578947,0.1693909244146198,0.0833155044913292
9,0.24069476377218962,0.28176541018486023,0.902,0.262585346228198,0.9071052631578947,0.16522154183437426,0.08385913782132169
10,0.2202599618708094,0.26489133238792417,0.9095,0.2748471829138304,0.9089473684210526,0.14987195532458525,0.0782088974583894
11,0.20615853722517688,0.2518952171802521,0.91175,0.2642543020060188,0.9123684210526316,0.12917828402016313,0.08553361645899712
12,0.19741375588501492,0.24809664630889894,0.913875,0.2611568350854673,0.9084210526315789,0.12387622255366296,0.08170837262955805
13,0.21039805678650736,0.24272510552406312,0.912375,0.2611568350854673,0.9084210526315789,0.13442159866914152,0.08441828969555597
14,0.17306292383000255,0.24218842482566832,0.917125,0.2538066335728294,0.9151315789473684,0.10058974508351336,0.08052575645968318
15,0.17789527422438065,0.2552689049243927,0.90975,0.2538066335728294,0.9151315789473684,0.1035661481693387,0.08258792009825508
16,0.1767479164712131,0.25845603036880493,0.910375,0.2538066335728294,0.9151315789473684,0.10870309197809547,0.07560536330721031
17,0.1543581737453739,0.26011518263816835,0.91375,0.2538066335728294,0.9151315789473684,0.08283191750136515,0.07947362044515709
18,0.15237180100753903,0.27169803166389467,0.90575,0.2538066335728294,0.9151315789473684,0.08331447826543202,0.0767303608575215
19,0.1429519360481451,0.2494740037918091,0.9165,0.2538066335728294,0.9151315789473684,0.06981806967485076,0.08125985379641255
