epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,0.5915837216153741,0.32722264909744264,0.8645,0.31476207406044004,0.87296,0.5889733198210597,0.08484861411806197,0.0
1,0.48241038580983875,0.31612928891181946,0.87425,0.30434850171089173,0.87676,0.47205259304493663,0.13761056301184,0.0
2,0.47182476975023746,0.3089129092693329,0.878,0.2875508721160889,0.8822,0.45481096079200506,0.13635928523167967,0.0
3,0.46072450529783965,0.30672190356254575,0.87975,0.2903359319877625,0.88252,0.4380715140979737,0.12968844304420055,0.0
4,0.4707806051783264,0.29963923001289366,0.87825,,,0.4431302895937115,0.12298519105743617,0.0
5,0.46383475096151233,0.33028150153160096,0.8705,,,0.42965199670381843,0.12438384752720594,0.0
6,0.4662626934684813,0.299017555475235,0.885,0.2736123924636841,0.88748,0.4263813927983865,0.12263833219558,0.0
7,0.45793663144111635,0.3535507652759552,0.878,,,0.41149517204170116,0.12375289012119174,0.0
8,0.4570226831138134,0.34910706186294554,0.87275,,,0.404662993832957,0.12315768938139081,0.0
9,0.45377527638338505,0.3170239450931549,0.88025,,,0.39553164787078277,0.12274811804853379,0.0
10,0.46232048424333333,0.3464999227523804,0.87675,,,0.39877659040875735,0.12100556114222855,0.0
11,0.457920012332499,0.4405726075172424,0.86475,,,0.38779809622792527,0.12195218292344362,0.0
12,0.4631219172030687,0.40867263007164,0.87375,,,0.3908919554732274,0.11565411275625229,0.0
13,0.46953881277889015,0.5030812830924988,0.85875,,,0.3950208624650259,0.11036054184287787,0.0
14,0.4582717624157667,0.3766329567432404,0.87525,,,0.3799454271438299,0.10797955919615924,0.0
15,0.44686393619328735,0.3960451264381409,0.88125,,,0.36946812211629004,0.09982270867866463,0.0
16,0.4557354179043323,0.3761995918750763,0.88425,,,0.3768687748167431,0.09561691498104483,0.0
17,0.45429453431256117,0.45827608060836794,0.88075,,,0.37640281518758273,0.08906109031103551,0.0
18,0.45231134663149714,0.45428329277038576,0.87625,,,0.3764421333549544,0.08201358442334458,0.0
19,0.44505134640820326,0.39249446058273313,0.8805,,,0.3708525585898897,0.07610689778905362,0.0
