epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,0.6039812346994877,0.35221168541908265,0.86575,0.33978210643291473,0.8696,0.6013179681003094,0.090217749142088,0.0
1,0.553049878038466,0.32471302032470706,0.87625,0.3149074122905731,0.88576,0.5434644512236119,0.12699827677756548,0.0
2,0.5370225188434123,0.28386311841011047,0.891,0.2721966964054108,0.893,0.5194696306437254,0.14018012559041382,0.0
3,0.5215612567663193,0.27062805366516113,0.8895,,,0.49587347312644126,0.1468327638953924,0.0
4,0.5182036522030831,0.2787434930801392,0.88825,,,0.4849339959695935,0.14799040682055056,0.0
5,0.5185653766095638,0.2745410661697388,0.89125,0.2523953472709656,0.90336,0.4787116542011499,0.144853286806494,0.0
6,0.5111315296143293,0.26658671426773073,0.89375,0.2472413957977295,0.90484,0.4647841316834092,0.14255424116179347,0.0
7,0.49956951075047257,0.29288444900512695,0.89325,,,0.4446140896640718,0.14652422581985594,0.0
8,0.5141809958517551,0.277988557100296,0.89775,0.25397184518814087,0.9048,0.45344406716153024,0.14282598686218262,0.0
9,0.4933352010622621,0.3449246814250946,0.87725,,,0.4240552024906501,0.14576525137387217,0.0
10,0.509836799647659,0.28578760623931887,0.8945,,,0.4343203031681478,0.14391374499723314,0.0
11,0.4970532151609659,0.2992146096229553,0.89075,,,0.4175306970849633,0.1383906273059547,0.0
12,0.5110375912860036,0.2787586658000946,0.891,,,0.4292624916015193,0.13086819475516676,0.0
13,0.4877806377671659,0.33446694707870483,0.886,,,0.39957278976216914,0.13063242215663196,0.0
14,0.5043947598449886,0.32815272331237794,0.895,,,0.41213337940210476,0.12734017283841967,0.0
15,0.4954348252043128,0.34300189232826234,0.8915,,,0.4031302884146571,0.11912547417357564,0.0
16,0.49254709409177305,0.3804404647350311,0.897,,,0.3976485952674411,0.11495892956480384,0.0
17,0.49370183623209596,0.3416335780620575,0.89375,,,0.3952798834592104,0.1124702147450298,0.0
18,0.47951374788582324,0.3505820434093475,0.895,,,0.3803501213309355,0.10717387362429873,0.0
19,0.47919589502736926,0.4018340768814087,0.878,,,0.38167120761424306,0.10003604763746261,0.0
