epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,2.4750099915724535,2.353417373275757,0.11325,2.3529316632588704,0.11226666666666667
1,2.2985854882460375,2.2802450252532958,0.13205,2.281184052403768,0.13145
2,2.176286110511193,2.251519157409668,0.1927,2.253089381027222,0.18801666666666667
3,1.9118039241203895,2.1632463401794433,0.27225,2.1649180660247804,0.26963333333333334
4,1.4601326905764067,1.8333324253082275,0.4012,1.826561013285319,0.40336666666666665
5,0.8748097786536584,1.70371490650177,0.44135,1.6930161025365194,0.4463666666666667
6,0.5825275916319627,1.6465329469680785,0.4756,1.639793934694926,0.4773833333333333
7,0.37174336268351627,1.5730746467590333,0.52395,1.563278269259135,0.52575
8,0.15467367349908903,1.6878223358154296,0.4971,,
9,0.0960589091365154,1.6273168170928956,0.52425,1.6152604176839194,0.52745
10,0.05443921384329979,1.6672340030670165,0.523,,
11,0.05009209464948911,1.6806150283813477,0.52075,,
12,0.029608038182442006,1.6216109809875487,0.54245,1.6035805239359537,0.5489166666666667
13,0.024764044640155938,1.6401988967895509,0.5406,,
14,0.017783565661655024,1.6628545360565186,0.53995,,
15,0.01444637725273004,1.6641381099700927,0.54465,1.6463992144266764,0.5500833333333334
16,0.01247204546458446,1.6798596855163574,0.5443,,
17,0.011564398757540263,1.692537102508545,0.5451,1.674783583132426,0.5517166666666666
18,0.010563494709248725,1.7011407600402833,0.54515,1.6837702692667644,0.5517
19,0.009321341291069984,1.706606652069092,0.54655,1.6892744064331056,0.5527833333333333
