epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,1.3464457284510136,0.14082643120629446,0.9727857142857143,0.14713885987826755,0.9708,1.3381412387788296,0.34147797931730745,0.8102202023863793
1,0.744273255482316,0.09714570891857147,0.9801785714285715,0.10358406319618225,0.9779857142857142,0.733750293508172,0.14513717307522894,0.20149273002147675
2,0.711448388159275,0.13071292555332184,0.9662142857142857,,,0.6990171562433243,0.10012875596806407,0.12454300612676888
3,0.7157620931565761,0.0970689411674227,0.97675,,,0.7001751871109009,0.08963479971606285,0.11296819542534649
4,0.6912891779243946,0.11758411986487252,0.9650357142857143,,,0.6752024254500866,0.0716155629386194,0.0832990464232862
5,0.6946067807674408,0.08933391523361206,0.9764285714285714,,,0.6741529700905085,0.0742611668468453,0.08812217019568197
6,0.687730479285121,0.09714006274087088,0.9770357142857143,,,0.6666942271888256,0.06466301405336708,0.0780709041178925
7,0.6818363545387983,0.09676103918892996,0.9713928571428572,,,0.6588591207563878,0.06132190166553483,0.07133954064873979
8,0.6857733703553677,0.08113395198753902,0.9761785714285715,,,0.6616047406047583,0.056941080815158786,0.0723638998294482
9,0.6842421876937151,0.07879940720966884,0.9798571428571429,,,0.6567244380414486,0.0579016554991249,0.07323951420141384
10,0.6775570316165686,0.082681905405862,0.9770357142857143,,,0.6501159145981074,0.052312398940557614,0.06399851143651177
11,0.6841669019907713,0.08653233119419643,0.9798571428571429,,,0.6558834464997053,0.04923079398740083,0.06162841544818366
12,0.6773855857104063,0.07833435562678746,0.9768571428571429,,,0.64764553591609,0.047570413241162894,0.05492597241535259
13,0.6709469586163759,0.08495072449956621,0.9786428571428571,,,0.6391888450682163,0.047105846693040805,0.051354163514974065
14,0.6673145279288292,0.09126929414272308,0.9769285714285715,,,0.6391273803263903,0.038885163112310696,0.045775758006588146
15,0.6656869629472494,0.08378099811077118,0.9793571428571428,,,0.6321817505359649,0.04324055221886374,0.04548901415688124
16,0.6678532215803862,0.07961049953528813,0.97975,,,0.634869132205844,0.0399546499052085,0.04361102419534291
17,0.6729655416309833,0.08062821980885097,0.97825,,,0.639954348295927,0.03772485115868039,0.039333835290375645
18,0.667490882024169,0.09710366652693067,0.9782142857142857,,,0.6320255341976881,0.03831892169173807,0.0415232810226189
19,0.6660897426605225,0.08280470441068921,0.9811785714285715,0.08896036386830466,0.9797,0.6327474966496229,0.03424406075756997,0.03622375209142774
