epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,0.8541623751322428,0.6838649983406067,0.589,0.6841749123573303,0.5846
1,0.7307268381118774,0.7764879441261292,0.5,,
2,0.6421094536781311,0.6743524732589722,0.57825,,
3,0.5295522014300028,0.6967591724395752,0.509,,
4,0.5331648588180542,0.6718348722457885,0.576,,
5,0.39770038922627765,0.6667552208900451,0.58525,,
6,0.3603684902191162,0.7621160717010498,0.53775,,
7,0.2255068818728129,0.648176260471344,0.63025,0.6450619973373413,0.63236
8,0.13689335187276205,0.6624900951385498,0.6395,0.6591597829818726,0.63828
9,0.05347174902757009,0.8564248905181885,0.5815,,
10,0.02740073638657729,1.0631635131835937,0.565,,
11,0.014992043065528074,1.080279577255249,0.58125,,
12,0.004302094224840403,0.9798109788894653,0.614,,
13,0.002037266540961961,0.9553519725799561,0.63825,,
14,0.0016650263375292222,0.9887604932785035,0.6445,0.9945855146789551,0.63968
15,0.001477743072124819,1.0386122789382934,0.6455,1.0449880715560913,0.63852
16,0.0020861253142356873,1.0762066707611084,0.64475,,
17,0.00137123090098612,1.0941235456466676,0.643,,
18,0.0005901481684607764,1.1148999786376954,0.64175,,
19,0.0004956831301872929,1.1397971086502074,0.63725,,
