epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu
0,0.4407590287551284,0.14673007604054042,0.9595357142857143,0.1526776926483427,0.9579571428571428,0.4407590287551284,0.10255300029025724
1,0.029806424758086602,0.16945670761380877,0.9533214285714285,0.1526776926483427,0.9579571428571428,0.009809420995103816,0.11109446066742142
2,0.03747941859997809,0.19318356343678067,0.94375,0.1526776926483427,0.9579571428571428,0.005843375336844474,0.0878778941440396
3,0.04535843681854506,0.15499484331267221,0.9593571428571429,0.1526776926483427,0.9579571428571428,0.004367997288548698,0.07590821882709861
4,0.05544010177254677,0.13593301018646786,0.9647857142857142,0.13766374995708466,0.9645714285714285,0.0037539127042206626,0.07178637099452317
5,0.06032602807274088,0.18566037903513227,0.9526785714285714,0.13766374995708466,0.9645714285714285,0.003282991382293403,0.06338115370599554
6,0.05645569632450739,0.2325098864010402,0.94075,0.13766374995708466,0.9645714285714285,0.003098520504233117,0.05928575251096239
7,0.05051841897889972,0.22741256264277868,0.9435,0.13766374995708466,0.9645714285714285,0.0022334589972160756,0.05364995699065427
8,0.04939005908789113,0.21631761479377748,0.9379642857142857,0.13766374995708466,0.9645714285714285,0.0018309753545327112,0.05284342782882353
9,0.052812071822894116,0.2722392533166068,0.9228928571428572,0.13766374995708466,0.9645714285714285,0.001901012515493979,0.056567845058161766
10,0.04341694771700228,0.2836010288851602,0.9195,0.13766374995708466,0.9645714285714285,0.0014825953756614277,0.04659372592577711
11,0.047242399144452066,0.2877466087341309,0.9231428571428572,0.13766374995708466,0.9645714285714285,0.0012114923220360651,0.05114545336497637
12,0.043218391675812505,0.2687115752015795,0.933,0.13766374995708466,0.9645714285714285,0.0010773201918345876,0.04682341409265064
13,0.04079860639952434,0.33139524037497387,0.9277857142857143,0.13766374995708466,0.9645714285714285,0.001445481020976634,0.043725696058633426
14,0.04794372633526412,0.24395727825164795,0.9381071428571428,0.13766374995708466,0.9645714285714285,0.0015465253483853303,0.051552446798887104
15,0.04160271304698351,0.2936078875405448,0.9358928571428572,0.13766374995708466,0.9645714285714285,0.0009624792593725336,0.04515581663125583
16,0.03850808264454827,0.283049790927342,0.9314285714285714,0.13766374995708466,0.9645714285714285,0.0007961556261094907,0.04190214221181426
17,0.04050073546590283,0.2489670021874564,0.9348571428571428,0.13766374995708466,0.9645714285714285,0.001131660138683704,0.04374341797122421
18,0.0393964168902797,0.22934868393625532,0.9386785714285715,0.13766374995708466,0.9645714285714285,0.0012263994926858383,0.04241113161609974
19,0.03813109842129052,0.267555826323373,0.93975,0.13766374995708466,0.9645714285714285,0.0011480590906770278,0.041092266931858225
