epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,0.8797160451561212,0.36370022511482236,0.878875,0.38059999735731825,0.8793421052631579,0.8763623779118062,0.14272834848053753,0.23079507682751865
1,0.6596668248735368,0.37177401423454287,0.883375,0.3920302243609177,0.8831578947368421,0.6526487286612391,0.09420520632900298,0.08644939179101493
2,0.6108555984701961,0.4100447325706482,0.88,,,0.6008385831508786,0.08046626952383668,0.06159819548588712
3,0.5881997916847468,0.4269357452392578,0.88075,,,0.5750313036553562,0.0750453818636015,0.05418929407940595
4,0.5768996402546763,0.42401241636276243,0.88175,,,0.5624747020527721,0.06420660010166467,0.050934708610488086
5,0.5656477940389887,0.41912178945541384,0.888625,0.4343637799589257,0.8857894736842106,0.5482861640015617,0.0632585952731315,0.04893079763057904
6,0.5816257337536663,0.4478355121612549,0.889625,0.46579627463692114,0.8846052631578948,0.5627028153114952,0.05838647258095443,0.0473454257320991
7,0.5647724798442796,0.41292574477195737,0.889875,0.43634061781983624,0.8847368421052632,0.5441620798988733,0.054981893606483936,0.04307032462340976
8,0.5551720231808722,0.46572299909591675,0.87925,,,0.5349164055823349,0.04767423898843117,0.040877340120187
9,0.5614854410737753,0.4691863374710083,0.887,,,0.5391380212092772,0.0470835885865381,0.03894437955147805
10,0.5533597979252227,0.49470289278030394,0.880625,,,0.5289949315832928,0.04640900745941326,0.03729103882666641
11,0.5484714011084288,0.49772005748748777,0.88675,,,0.5246076989020221,0.04154887765517924,0.035182222506336985
12,0.5481700272622984,0.5376710863113403,0.8855,,,0.5248391036775428,0.03736738176387735,0.030412211889677566
13,0.5558305406123399,0.517040846824646,0.8805,,,0.5294115224089474,0.03911401752894744,0.03195257109602244
14,0.5423739395372104,0.48579193925857544,0.8885,,,0.5169617285458371,0.03507427975215251,0.0277421937601207
15,0.5492666485286318,0.5344915542602539,0.88875,,,0.5230576464966871,0.03381491152767558,0.027985886970991487
16,0.5537411774452776,0.552196273803711,0.88925,,,0.5262986001071985,0.03324387119547464,0.027293310845429006
17,0.534120573400287,0.5927953891754151,0.887,,,0.5073954243317712,0.03054901070840424,0.022667871957881062
18,0.5470552376788109,0.5910880627632141,0.884625,,,0.5182004295296502,0.031197961265279447,0.02242617136016793
19,0.5433561492748559,0.5900517330169678,0.886375,,,0.5155488009271212,0.02853204246831592,0.021415230559786096
