epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu
0,0.02980442482197153,1.7948806648254394,0.5905,1.7661990322113037,0.59216,0.02980442482197153,1.2737101827313502
1,0.04901475038689872,1.4710402059555054,0.53375,1.7661990322113037,0.59216,0.006163502526032971,0.23806247954567272
2,0.06438089083569745,1.3414524955749512,0.541,1.7661990322113037,0.59216,0.009514090329466852,0.152407772919784
3,0.04788788086424271,2.8164103183746336,0.50375,1.7661990322113037,0.59216,0.002325962485241083,0.08437391969608143
4,0.071132429066735,2.7222128715515135,0.51475,1.7661990322113037,0.59216,0.013286751799266009,0.08034121457089592
5,0.048843482686206696,1.4350954275131225,0.5155,1.7661990322113037,0.59216,0.0015381645096931606,0.05256146618165076
6,0.05173569469402234,1.7844848375320435,0.50875,1.7661990322113037,0.59216,0.0015915930566067498,0.055715669910423454
7,0.07169361458004762,2.5814468307495115,0.54275,1.7661990322113037,0.59216,0.0013804398559538337,0.07812575175814951
8,0.09534075673436745,2.2354481811523437,0.50225,1.7661990322113037,0.59216,0.010903238473110833,0.09381946692155907
9,0.007267931227882703,2.544320459365845,0.50125,1.7661990322113037,0.59216,0.0005844948403925324,0.007426040665207741
10,0.018868452919026217,1.3001605033874513,0.5035,1.7661990322113037,0.59216,0.0004200837509415578,0.020498188515775836
11,0.018943348506775995,1.2338513469696044,0.501,1.7661990322113037,0.59216,0.00035309518309077246,0.02065583753399551
12,0.018628936330011735,1.3450388832092286,0.50125,1.7661990322113037,0.59216,0.00024888623389415445,0.02042227844086786
13,0.037768551289724804,0.6954381089210511,0.686,0.6926294256973267,0.69176,0.00035687988565769047,0.04156852466907973
14,0.03178631262038834,1.7464997596740723,0.50125,0.6926294256973267,0.69176,0.0004268293771504735,0.034843871214349446
15,0.019802182734711096,0.5156132025718689,0.77025,0.5097991792488098,0.76656,0.00031625207261337586,0.021651034542980292
16,0.05305052714422345,0.619303915977478,0.62525,0.5097991792488098,0.76656,0.00017340802187391092,0.058752356168503564
17,0.05241303301726778,0.5406430015563964,0.75725,0.5097991792488098,0.76656,0.00014856670781834207,0.058071630597114565
18,0.06933582449331879,0.603267023563385,0.7405,0.5097991792488098,0.76656,0.00012603369308635592,0.07689977027475833
19,0.07824880581349135,0.5287521104812622,0.7715,0.5219163347625733,0.76972,0.00013183696079067887,0.08679663456976414
